n,k,q,found,attempts,possible_permutations,execution_time_sec,stage
11,5,7,True,97,39916800,0.11415600776672363,2
11,5,7,True,1,39916800,0.03534293174743652,1
11,5,7,True,25201,39916800,44.565906286239624,2
11,5,7,False,-1,39916800,300.1134648323059,timeout
11,5,7,True,19,39916800,0.04828619956970215,2
11,5,7,False,-1,39916800,300.01355385780334,timeout
11,5,7,True,1,39916800,0.006975889205932617,1
11,5,7,True,5,39916800,0.05739879608154297,2
11,5,7,True,5,39916800,0.03254818916320801,2
11,5,7,True,19,39916800,0.04968595504760742,2
11,5,7,False,-1,39916800,300.2702829837799,timeout
11,5,7,False,-1,39916800,300.30877208709717,timeout
11,5,7,False,-1,39916800,300.2130560874939,timeout
11,5,7,False,-1,39916800,300.0743408203125,timeout
11,5,7,False,-1,39916800,1183.7953531742096,timeout
11,5,7,False,-1,39916800,10057.306863069534,timeout
11,5,7,False,-1,39916800,4674.555227994919,timeout
11,5,7,False,-1,39916800,9923.328352928162,timeout
11,5,7,True,721,39916800,0.9001638889312744,2
11,5,7,False,-1,39916800,5818.960588932037,timeout
11,5,7,False,-1,39916800,1528.2162928581238,timeout
11,5,7,True,161282,39916800,1017.0397970676422,2
11,5,7,True,601,39916800,1.1108291149139404,2
11,5,7,True,5,39916800,0.006161928176879883,2
11,5,7,True,3607,39916800,6.467895984649658,2
11,5,7,True,5041,39916800,16.388370037078857,2
11,5,7,False,-1,39916800,2026.6089160442352,timeout
11,5,7,True,3263,39916800,5.031090974807739,2
11,5,7,False,-1,39916800,300.08205485343933,timeout
11,5,7,True,2161,39916800,1.720524787902832,2
11,5,7,False,-1,39916800,300.11514806747437,timeout
11,5,7,True,237337,39916800,89.97753977775574,2
11,5,7,True,1466,39916800,0.5243997573852539,2
11,5,7,True,9,39916800,0.0034470558166503906,2
11,5,7,False,-1,39916800,300.1012101173401,timeout
11,5,7,True,363241,39916800,125.96750283241272,2
11,5,7,False,-1,39916800,300.05771589279175,timeout
11,5,7,False,-1,39916800,300.17357110977173,timeout
11,5,7,False,-1,39916800,300.17536878585815,timeout
11,5,7,False,-1,39916800,300.09999990463257,timeout
11,5,7,True,213,39916800,0.13466286659240723,2
11,5,7,True,115921,39916800,65.52780795097351,2
11,5,7,True,226801,39916800,106.64210891723633,2
11,5,7,True,49,39916800,0.020172119140625,2
11,5,7,True,1,39916800,0.0005810260772705078,2
11,5,7,False,-1,39916800,300.18344712257385,timeout
11,5,7,False,-1,39916800,300.19475197792053,timeout
11,5,7,False,-1,39916800,300.0509648323059,timeout
