n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,repair_algorithm,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
64,32,127,0.01,0.05,1,1.1,3,random,induced_sd_repair,0,1655622827,2026-08-06T04:47:20.731277+00:00,1,1000,10000,0.025637149810791016,0.08626890182495117,0.15060877799987793,311.66731810569763,311.9417269229889,52,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,induced_sd_repair,1,926377576,2026-08-06T04:52:32.678734+00:00,1,1000,10000,0.003999948501586914,0.08775186538696289,0.15682601928710938,310.60923886299133,310.8641219139099,50,7,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,structured_sd_repair,0,733412702,2026-08-06T04:57:43.548109+00:00,1,1000,10000,0.0039920806884765625,0.09353423118591309,0.15449190139770508,312.4434509277344,312.70170283317566,50,7,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,structured_sd_repair,1,1165609436,2026-08-06T05:02:56.256057+00:00,1,1000,10000,0.0040378570556640625,0.08351707458496094,0.17118573188781738,310.9956798553467,311.2610538005829,50,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,posterior_aware_prange_repair,0,83900990,2026-08-06T05:08:07.522380+00:00,1,1000,10000,0.003951072692871094,0.08770608901977539,0.15258121490478516,311.54119300842285,311.7918541431427,46,14,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,posterior_aware_prange_repair,1,121656165,2026-08-06T05:13:19.319476+00:00,1,1000,10000,0.003946065902709961,0.0833578109741211,0.1702101230621338,311.03740906715393,311.3011450767517,42,17,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,induced_sd_repair,0,1282888041,2026-08-06T05:18:30.625710+00:00,1,1000,10000,0.004038095474243164,0.08331680297851562,0.1527402400970459,147.2609348297119,147.5075478553772,54,8,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,induced_sd_repair,1,968089220,2026-08-06T05:20:58.138178+00:00,1,1000,10000,0.003949165344238281,0.09963798522949219,0.15420174598693848,146.9816551208496,147.24579405784607,48,12,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,structured_sd_repair,0,1377718668,2026-08-06T05:23:25.389089+00:00,1,1000,10000,0.003990888595581055,0.08338308334350586,0.1706221103668213,147.50212717056274,147.7664520740509,49,15,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,structured_sd_repair,1,124974817,2026-08-06T05:25:53.160625+00:00,1,1000,10000,0.003953218460083008,0.08436894416809082,0.1537628173828125,147.46451926231384,147.71287298202515,50,6,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,posterior_aware_prange_repair,0,1191266538,2026-08-06T05:28:20.878737+00:00,1,1000,10000,0.0039479732513427734,0.08324503898620605,0.15511798858642578,147.40398907661438,147.6526219844818,49,15,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,posterior_aware_prange_repair,1,1872036150,2026-08-06T05:30:48.536193+00:00,1,1000,10000,0.003965854644775391,0.08505606651306152,0.15456414222717285,146.8349130153656,147.08489108085632,47,14,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,induced_sd_repair,0,1330202424,2026-08-06T05:33:15.626263+00:00,1,1000,10000,0.003972768783569336,0.08803105354309082,0.1550912857055664,133.21604895591736,133.46945428848267,52,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,induced_sd_repair,1,814615104,2026-08-06T05:35:29.100832+00:00,1,1000,10000,0.004151105880737305,0.08661198616027832,0.155015230178833,133.2324779033661,133.48455691337585,43,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,structured_sd_repair,0,1254352887,2026-08-06T05:37:42.590536+00:00,1,1000,10000,0.0039670467376708984,0.09858894348144531,0.1544811725616455,133.2454330921173,133.5091199874878,54,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,structured_sd_repair,1,1614411643,2026-08-06T05:39:56.104657+00:00,1,1000,10000,0.003940105438232422,0.09831690788269043,0.1528787612915039,133.18829202651978,133.44984102249146,51,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,posterior_aware_prange_repair,0,1628138363,2026-08-06T05:42:09.559808+00:00,1,1000,10000,0.0039670467376708984,0.08302807807922363,0.15285086631774902,133.27749800682068,133.52963209152222,50,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,posterior_aware_prange_repair,1,1679370391,2026-08-06T05:44:23.094480+00:00,1,1000,10000,0.0039560794830322266,0.08261370658874512,0.15427207946777344,133.57128190994263,133.8183150291443,55,3,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,random,induced_sd_repair,0,2075396144,2026-08-06T05:46:36.917899+00:00,1,1000,10000,0.0039899349212646484,0.08353018760681152,0.15350031852722168,312.35414814949036,312.6015820503235,53,11,64,25,30,True,1000,987,0,0,5.538461538461538,7,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,induced_sd_repair,1,573703956,2026-08-06T05:51:49.524517+00:00,1,1000,10000,0.003973245620727539,0.08288788795471191,0.15348577499389648,312.4687490463257,312.7153639793396,44,13,64,25,30,True,1000,962,0,0,10.631578947368421,13,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,structured_sd_repair,0,1760569342,2026-08-06T05:57:02.245031+00:00,1,1000,10000,0.0039632320404052734,0.08532571792602539,0.16878485679626465,305.74199390411377,306.0064160823822,49,12,64,25,30,True,1000,963,0,0,6.864864864864865,9,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,structured_sd_repair,1,350784152,2026-08-06T06:02:08.256617+00:00,1,1000,10000,0.0039408206939697266,0.09483003616333008,0.15721583366394043,306.2588529586792,306.5213508605957,49,9,64,25,30,True,1000,968,0,0,3.875,5,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,posterior_aware_prange_repair,0,727265022,2026-08-06T06:07:14.783106+00:00,1,1000,10000,0.003938913345336914,0.08298373222351074,0.15443205833435059,311.7308118343353,311.9784848690033,51,8,64,25,30,True,1000,992,0,0,5.25,6,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,posterior_aware_prange_repair,1,1591254976,2026-08-06T06:12:26.766610+00:00,1,1000,10000,0.0039310455322265625,0.08290219306945801,0.15741586685180664,311.78286385536194,312.0334119796753,45,11,64,25,30,True,1000,975,0,0,7.04,8,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,induced_sd_repair,0,1029634723,2026-08-06T06:17:38.805176+00:00,1,1000,10000,0.0039670467376708984,0.08315706253051758,0.15338516235351562,146.31279110908508,146.55969381332397,45,17,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,induced_sd_repair,1,781172641,2026-08-06T06:20:05.369872+00:00,1,1000,10000,0.003984928131103516,0.08631086349487305,0.1546950340270996,146.12539100646973,146.37676405906677,51,8,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,structured_sd_repair,0,1247827359,2026-08-06T06:22:31.751835+00:00,1,1000,10000,0.00395512580871582,0.10350418090820312,0.15464305877685547,146.29098796844482,146.55931496620178,41,14,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,structured_sd_repair,1,1517573120,2026-08-06T06:24:58.316367+00:00,1,1000,10000,0.003940105438232422,0.0966331958770752,0.15378999710083008,146.45856618881226,146.71953582763672,43,16,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,posterior_aware_prange_repair,0,1370203643,2026-08-06T06:27:25.041195+00:00,1,1000,10000,0.0039670467376708984,0.08246183395385742,0.17065906524658203,146.39296412467957,146.65630912780762,46,11,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,posterior_aware_prange_repair,1,238917868,2026-08-06T06:29:51.702722+00:00,1,1000,10000,0.004031181335449219,0.08337521553039551,0.1663351058959961,146.49166321754456,146.75361514091492,49,15,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,induced_sd_repair,0,1562100230,2026-08-06T06:32:18.461291+00:00,1,1000,10000,0.003961086273193359,0.08256316184997559,0.15549802780151367,132.59576201438904,132.844092130661,49,6,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,induced_sd_repair,1,523574598,2026-08-06T06:34:31.310404+00:00,1,1000,10000,0.003974199295043945,0.09917402267456055,0.15517091751098633,132.44757294654846,132.71249103546143,52,10,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,structured_sd_repair,0,532019297,2026-08-06T06:36:44.028106+00:00,1,1000,10000,0.0039179325103759766,0.08297491073608398,0.15352988243103027,132.62155866622925,132.8685700893402,53,9,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,structured_sd_repair,1,1706294855,2026-08-06T06:38:56.901707+00:00,1,1000,10000,0.003932952880859375,0.08483314514160156,0.17169499397277832,132.68479681015015,132.9516179561615,48,11,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,posterior_aware_prange_repair,0,1326561825,2026-08-06T06:41:09.858740+00:00,1,1000,10000,0.0039141178131103516,0.08351016044616699,0.1535651683807373,132.47796893119812,132.72527408599854,52,12,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,local_search,posterior_aware_prange_repair,1,1002453712,2026-08-06T06:43:22.589241+00:00,1,1000,10000,0.003969907760620117,0.08215188980102539,0.16860294342041016,132.93749594688416,133.19864511489868,54,10,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,random,induced_sd_repair,0,551516524,2026-08-06T06:45:35.793026+00:00,1,1000,10000,0.0039560794830322266,0.08290886878967285,0.15243911743164062,188.30031895637512,188.5459578037262,49,8,64,25,32,True,1000,0,0,0,6.127,8,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,random,induced_sd_repair,1,621169278,2026-08-06T06:48:44.344048+00:00,1,1000,10000,0.0038263797760009766,0.08497786521911621,0.15411376953125,188.00505709648132,188.25440907478333,45,16,64,25,32,True,1000,0,0,0,9.815,12,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,random,structured_sd_repair,0,475230276,2026-08-06T06:51:52.603663+00:00,1,1000,10000,0.003874063491821289,0.08964681625366211,0.15351390838623047,8.564186811447144,8.817708015441895,50,12,64,25,32,True,1000,0,0,0,5.627,8,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,random,structured_sd_repair,1,661833943,2026-08-06T06:52:01.426430+00:00,1,1000,10000,0.003953218460083008,0.08274412155151367,0.1547689437866211,8.298518896102905,8.546327829360962,48,13,64,25,32,True,1000,0,0,0,9.842,12,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,random,posterior_aware_prange_repair,0,2133858069,2026-08-06T06:52:09.978010+00:00,1,1000,10000,0.0039501190185546875,0.08320879936218262,0.15612196922302246,207.21810293197632,207.46763610839844,46,12,64,25,32,True,1000,0,0,0,7.058,9,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,random,posterior_aware_prange_repair,1,840862837,2026-08-06T06:55:37.450721+00:00,1,1000,10000,0.003905773162841797,0.0863029956817627,0.1705470085144043,208.2620370388031,208.52925491333008,44,17,64,25,32,True,1000,0,0,0,10.157,12,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,induced_sd_repair,0,1565797020,2026-08-06T06:59:05.985104+00:00,1,1000,10000,0.0038900375366210938,0.1036069393157959,0.15432500839233398,146.86647701263428,147.13454270362854,49,9,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,induced_sd_repair,1,758745352,2026-08-06T07:01:33.124905+00:00,1,1000,10000,0.003938913345336914,0.08692407608032227,0.15557408332824707,146.6000270843506,146.85267806053162,50,12,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,structured_sd_repair,0,1484139293,2026-08-06T07:03:59.982762+00:00,1,1000,10000,0.003931760787963867,0.11253190040588379,0.15324807167053223,146.4418499469757,146.71791529655457,53,7,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,structured_sd_repair,1,1963741733,2026-08-06T07:06:26.705883+00:00,1,1000,10000,0.003962278366088867,0.08293485641479492,0.17316985130310059,146.54380106925964,146.81028294563293,52,8,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,posterior_aware_prange_repair,0,251276859,2026-08-06T07:08:53.521332+00:00,1,1000,10000,0.003931760787963867,0.08258605003356934,0.15564799308776855,146.80769419670105,147.05632090568542,50,11,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,linear_combination,posterior_aware_prange_repair,1,257584167,2026-08-06T07:11:20.582822+00:00,1,1000,10000,0.003939151763916016,0.08304691314697266,0.15396404266357422,146.26101398468018,146.50831007957458,49,13,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,induced_sd_repair,0,211533087,2026-08-06T07:13:47.096311+00:00,1,1000,10000,0.004040956497192383,0.09978199005126953,0.15656495094299316,133.0022292137146,133.26877403259277,48,8,64,25,32,True,1000,998,0,0,7.5,8,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,induced_sd_repair,1,1618277699,2026-08-06T07:16:00.370195+00:00,1,1000,10000,0.003962039947509766,0.08223390579223633,0.15458393096923828,132.65675711631775,132.9039101600647,42,14,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,structured_sd_repair,0,1329837488,2026-08-06T07:18:13.279275+00:00,1,1000,10000,0.004006862640380859,0.08674311637878418,0.15315008163452148,132.82259106636047,133.07277417182922,46,16,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,structured_sd_repair,1,1338306424,2026-08-06T07:20:26.357248+00:00,1,1000,10000,0.003946065902709961,0.10076594352722168,0.15389299392700195,133.19535398483276,133.46045804023743,52,12,64,25,32,True,1000,999,0,0,6.0,6,0.0,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,posterior_aware_prange_repair,0,1949214020,2026-08-06T07:22:39.822786+00:00,1,1000,10000,0.003946065902709961,0.08205962181091309,0.15160107612609863,132.78476524353027,133.0285289287567,49,8,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.3,3,local_search,posterior_aware_prange_repair,1,1167141732,2026-08-06T07:24:52.856567+00:00,1,1000,10000,0.003964900970458984,0.08597707748413086,0.15219521522521973,132.8478240966797,133.09639191627502,50,8,64,25,32,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,induced_sd_repair,0,1512204603,2026-08-06T07:27:05.958327+00:00,1,1000,10000,0.003988027572631836,0.08671998977661133,0.1702120304107666,309.9860169887543,310.25362515449524,50,14,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,induced_sd_repair,1,85037403,2026-08-06T07:32:16.217236+00:00,1,1000,10000,0.003937244415283203,0.08661293983459473,0.15448808670043945,309.53697204589844,309.78834319114685,50,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,structured_sd_repair,0,1758839138,2026-08-06T07:37:26.010976+00:00,1,1000,10000,0.003931999206542969,0.09723496437072754,0.15330982208251953,310.19892597198486,310.4597969055176,55,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,structured_sd_repair,1,1100966048,2026-08-06T07:42:36.476088+00:00,1,1000,10000,0.0039272308349609375,0.08343720436096191,0.15344905853271484,310.2020411491394,310.44921708106995,45,12,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,posterior_aware_prange_repair,0,616643670,2026-08-06T07:47:46.930440+00:00,1,1000,10000,0.003993034362792969,0.08302879333496094,0.15375900268554688,310.4410560131073,310.68848299980164,51,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,posterior_aware_prange_repair,1,1730540498,2026-08-06T07:52:57.624059+00:00,1,1000,10000,0.003957033157348633,0.08235001564025879,0.17016911506652832,309.91168117523193,310.17463660240173,46,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,induced_sd_repair,0,705256825,2026-08-06T07:58:07.803870+00:00,1,1000,10000,0.0041768550872802734,0.0824589729309082,0.16895794868469238,146.95545887947083,147.21721482276917,39,15,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,induced_sd_repair,1,476947333,2026-08-06T08:00:35.026123+00:00,1,1000,10000,0.00394892692565918,0.0828099250793457,0.15386414527893066,146.70512199401855,146.95206809043884,49,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,structured_sd_repair,0,1080662188,2026-08-06T08:03:01.983309+00:00,1,1000,10000,0.0041158199310302734,0.08275365829467773,0.15344905853271484,146.81399512290955,147.06083369255066,44,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,structured_sd_repair,1,334467225,2026-08-06T08:05:29.049473+00:00,1,1000,10000,0.003938198089599609,0.08280181884765625,0.15558505058288574,146.6019332408905,146.8506920337677,43,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,posterior_aware_prange_repair,0,347392941,2026-08-06T08:07:55.905175+00:00,1,1000,10000,0.003918886184692383,0.0988149642944336,0.15650081634521484,146.45896005630493,146.72446703910828,50,12,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,posterior_aware_prange_repair,1,652485555,2026-08-06T08:10:22.634549+00:00,1,1000,10000,0.003952741622924805,0.0864708423614502,0.17174220085144043,146.46425485610962,146.73262405395508,49,8,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,induced_sd_repair,0,1967532487,2026-08-06T08:12:49.371991+00:00,1,1000,10000,0.003972768783569336,0.08716106414794922,0.15292000770568848,132.87658095359802,133.12687301635742,49,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,induced_sd_repair,1,1972098602,2026-08-06T08:15:02.504062+00:00,1,1000,10000,0.004006862640380859,0.08685588836669922,0.15425920486450195,132.91599082946777,133.16721510887146,43,12,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,structured_sd_repair,0,578444647,2026-08-06T08:17:15.676494+00:00,1,1000,10000,0.003942966461181641,0.08630108833312988,0.16624808311462402,132.68236374855042,132.945081949234,46,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,structured_sd_repair,1,479237231,2026-08-06T08:19:28.626641+00:00,1,1000,10000,0.0039730072021484375,0.09893989562988281,0.15395379066467285,133.00017404556274,133.26327419281006,43,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,posterior_aware_prange_repair,0,834945361,2026-08-06T08:21:41.895146+00:00,1,1000,10000,0.003980159759521484,0.08272910118103027,0.16272282600402832,133.14423203468323,133.40548610687256,48,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,posterior_aware_prange_repair,1,812589471,2026-08-06T08:23:55.305705+00:00,1,1000,10000,0.00394892692565918,0.08330082893371582,0.15475821495056152,132.7166669368744,132.96514511108398,49,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,random,induced_sd_repair,0,561494629,2026-08-06T08:26:08.275992+00:00,1,1000,10000,0.003999233245849609,0.08292770385742188,0.153181791305542,311.74294781684875,311.98934626579285,50,10,64,25,30,True,1000,968,0,0,6.75,8,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,random,induced_sd_repair,1,1080045735,2026-08-06T08:31:20.270463+00:00,1,1000,10000,0.0039310455322265625,0.08204317092895508,0.15314936637878418,24.573866844177246,24.819281101226807,50,10,64,25,30,True,80,77,1,1,5.0,6,0.0,30.0,True,
64,32,127,0.01,0.05,2,1.2,3,random,structured_sd_repair,0,1968801629,2026-08-06T08:31:45.094959+00:00,1,1000,10000,0.0038771629333496094,0.0994269847869873,0.1547091007232666,308.90639090538025,309.1706790924072,52,9,64,25,30,True,1000,968,0,0,4.0625,5,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,random,structured_sd_repair,1,612225458,2026-08-06T08:36:54.270687+00:00,1,1000,10000,0.003969907760620117,0.08187508583068848,0.17089605331420898,307.7758798599243,308.0388159751892,48,12,64,25,30,True,1000,934,0,0,5.045454545454546,7,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,random,posterior_aware_prange_repair,0,1887097163,2026-08-06T08:42:02.314731+00:00,1,1000,10000,0.00393986701965332,0.0822296142578125,0.17029881477355957,0.3310739994049072,0.5939910411834717,55,6,64,25,30,True,3,1,1,1,2.0,2,1.0,30.0,True,
64,32,127,0.01,0.05,2,1.2,3,random,posterior_aware_prange_repair,1,1137574765,2026-08-06T08:42:02.913818+00:00,1,1000,10000,0.0038690567016601562,0.08515691757202148,0.15437698364257812,214.33683371543884,214.58655261993408,50,11,64,25,30,True,685,660,1,1,5.541666666666667,7,0.0,30.0,True,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,induced_sd_repair,0,1411938400,2026-08-06T08:45:37.505594+00:00,1,1000,10000,0.0038750171661376953,0.08293890953063965,0.1704719066619873,146.60160422325134,146.86534023284912,52,6,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,induced_sd_repair,1,343140744,2026-08-06T08:48:04.376364+00:00,1,1000,10000,0.003976106643676758,0.08264708518981934,0.1533660888671875,146.36294794082642,146.61256790161133,47,15,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,structured_sd_repair,0,1202291461,2026-08-06T08:50:30.994083+00:00,1,1000,10000,0.003942012786865234,0.08323097229003906,0.15479016304016113,146.60649013519287,146.85457587242126,43,12,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,structured_sd_repair,1,869690824,2026-08-06T08:52:57.853406+00:00,1,1000,10000,0.0038971900939941406,0.08222484588623047,0.1558847427368164,146.45426988601685,146.7028510570526,51,13,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,posterior_aware_prange_repair,0,1918605766,2026-08-06T08:55:24.561372+00:00,1,1000,10000,0.003930091857910156,0.10326695442199707,0.1540060043334961,146.39726996421814,146.6648280620575,48,16,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,posterior_aware_prange_repair,1,335264697,2026-08-06T08:57:51.231141+00:00,1,1000,10000,0.003957033157348633,0.08682012557983398,0.17045211791992188,146.67605185508728,146.94361686706543,55,7,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,induced_sd_repair,0,255938871,2026-08-06T09:00:18.179949+00:00,1,1000,10000,0.003949165344238281,0.09133005142211914,0.15559911727905273,132.51233100891113,132.76969385147095,43,14,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,induced_sd_repair,1,70821689,2026-08-06T09:02:30.954841+00:00,1,1000,10000,0.0039441585540771484,0.10523796081542969,0.16361021995544434,132.79049706459045,133.0697078704834,51,13,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,structured_sd_repair,0,365893193,2026-08-06T09:04:44.030032+00:00,1,1000,10000,0.0040760040283203125,0.08248424530029297,0.17047810554504395,132.73579597473145,132.9991979598999,56,6,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,structured_sd_repair,1,1178031065,2026-08-06T09:06:57.034452+00:00,1,1000,10000,0.003966331481933594,0.08301377296447754,0.15350794792175293,132.43377304077148,132.68074011802673,53,11,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,posterior_aware_prange_repair,0,2006745328,2026-08-06T09:09:09.720405+00:00,1,1000,10000,0.0039899349212646484,0.08463907241821289,0.15463900566101074,132.52107071876526,132.77066707611084,49,9,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,posterior_aware_prange_repair,1,255733758,2026-08-06T09:11:22.496229+00:00,1,1000,10000,0.003912925720214844,0.0997931957244873,0.1533219814300537,132.62639617919922,132.88974475860596,48,14,64,25,30,True,1000,1000,0,0,,,,,False,
