n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
128,64,127,0.01,0.05,1,1.2,3,random,0,1502701004,2026-08-05T18:33:16.517147+00:00,1,1000,10000,0.04733896255493164,0.3017418384552002,0.6143651008605957,623.3282339572906,624.3200907707214,87,22,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.2,3,random,1,1795988792,2026-08-05T18:43:40.873051+00:00,1,1000,10000,0.015695810317993164,0.3316922187805176,0.6084909439086914,709.2669818401337,710.2467608451843,90,27,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.2,3,linear_combination,0,2102437143,2026-08-05T18:55:31.163185+00:00,1,1000,10000,0.019106149673461914,0.342911958694458,0.7260050773620605,346.3743476867676,347.4906601905823,81,20,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.2,3,linear_combination,1,1074747763,2026-08-05T19:01:18.695942+00:00,1,1000,10000,0.018147945404052734,0.3297581672668457,0.7296943664550781,356.43357276916504,357.54134798049927,97,27,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.2,3,local_search,0,1202706743,2026-08-05T19:07:16.309091+00:00,1,1000,10000,0.02490091323852539,0.4713401794433594,0.8776779174804688,342.2132189273834,343.62056183815,96,19,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.2,3,local_search,1,604305470,2026-08-05T19:12:59.973930+00:00,1,1000,10000,0.019662141799926758,0.3390676975250244,0.7640860080718994,337.9479818344116,339.10252118110657,86,29,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.3,3,random,0,1098098647,2026-08-05T19:18:39.117993+00:00,1,1000,10000,0.018058061599731445,0.3348879814147949,0.7309281826019287,29.018264770507812,30.133610010147095,83,27,128,49,64,True,1000,0,0,0,19.788,23,0.0,,False,
128,64,127,0.01,0.05,1,1.3,3,random,1,1072320898,2026-08-05T19:19:09.272405+00:00,1,1000,10000,0.017610788345336914,0.43957090377807617,0.7558190822601318,33.92391800880432,35.165196895599365,90,21,128,49,64,True,1000,0,0,0,22.659,24,0.0,,False,
128,64,127,0.01,0.05,1,1.3,3,linear_combination,0,2115247468,2026-08-05T19:19:44.461560+00:00,1,1000,10000,0.018787860870361328,0.3529798984527588,0.799206018447876,362.3998100757599,363.59787583351135,78,22,128,49,64,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.3,3,linear_combination,1,1589547439,2026-08-05T19:25:48.105628+00:00,1,1000,10000,0.018615245819091797,0.35080385208129883,0.827970027923584,360.5362460613251,361.76334524154663,83,23,128,49,64,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.3,3,local_search,0,234538943,2026-08-05T19:31:49.912693+00:00,1,1000,10000,0.01837778091430664,0.3731110095977783,0.8027610778808594,339.512433052063,340.75636887550354,90,21,128,49,64,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.3,3,local_search,1,1877409829,2026-08-05T19:37:30.712363+00:00,1,1000,10000,0.01796412467956543,0.33565521240234375,0.7216489315032959,338.67719292640686,339.78185510635376,96,25,128,49,64,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.5,3,random,0,354118451,2026-08-05T19:43:10.537004+00:00,1,1000,10000,0.019380807876586914,0.34003520011901855,0.7379980087280273,21.417323112487793,22.54411506652832,85,16,128,49,74,True,1000,0,0,0,16.334,23,0.0,,False,
128,64,127,0.01,0.05,1,1.5,3,random,1,1699500176,2026-08-05T19:43:33.102150+00:00,1,1000,10000,0.018804073333740234,0.35518908500671387,0.7385108470916748,20.944679975509644,22.086392879486084,92,21,128,49,74,True,1000,0,0,0,20.338,25,0.0,,False,
128,64,127,0.01,0.05,1,1.5,3,linear_combination,0,1861260163,2026-08-05T19:43:55.208842+00:00,1,1000,10000,0.018345117568969727,0.33782124519348145,0.7571942806243896,339.19741106033325,340.3397331237793,92,14,128,49,74,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.5,3,linear_combination,1,1676350079,2026-08-05T19:49:35.588936+00:00,1,1000,10000,0.01725602149963379,0.33472299575805664,0.7150599956512451,363.5745759010315,364.6692578792572,93,23,128,49,74,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.5,3,local_search,0,1566578758,2026-08-05T19:55:40.303231+00:00,1,1000,10000,0.019191980361938477,0.46366214752197266,0.769110918045044,383.4393222332001,384.72095489501953,89,25,128,49,74,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,1,1.5,3,local_search,1,1625119483,2026-08-05T20:02:05.070854+00:00,1,1000,10000,0.02199697494506836,0.4137742519378662,0.9522900581359863,357.539724111557,358.9830822944641,94,17,128,49,74,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,random,0,907362376,2026-08-05T20:08:04.097474+00:00,1,1000,10000,0.019686222076416016,0.36867189407348633,0.8166773319244385,700.5936341285706,701.8303639888763,100,22,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,random,1,1097979821,2026-08-05T20:19:45.964336+00:00,1,1000,10000,0.015545129776000977,0.3029818534851074,0.6609830856323242,653.5972630977631,654.599527835846,85,21,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,linear_combination,0,143731178,2026-08-05T20:30:40.604847+00:00,1,1000,10000,0.01758408546447754,0.3201179504394531,0.6625559329986572,314.0686888694763,315.0963728427887,83,22,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,linear_combination,1,1856211929,2026-08-05T20:35:55.736326+00:00,1,1000,10000,0.01622486114501953,0.3182518482208252,0.6573328971862793,281.5730948448181,282.59042286872864,82,23,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,local_search,0,1563178791,2026-08-05T20:40:38.347084+00:00,1,1000,10000,0.01499485969543457,0.28461217880249023,0.6142349243164062,262.5258560180664,263.46365094184875,92,15,128,49,59,True,1000,1000,0,0,,,,,False,
128,64,127,0.01,0.05,5,1.2,3,local_search,1,67701924,2026-08-05T20:45:01.832010+00:00,1,1000,10000,0.015232086181640625,0.3030431270599365,0.6374499797821045,268.2510361671448,269.2298800945282,89,26,128,49,59,True,1000,1000,0,0,,,,,False,
