n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
64,32,127,0.01,0.05,1,1.1,3,random,0,106893241,2026-08-05T15:42:58.160740+00:00,1,1000,10000,0.032096147537231445,0.08316898345947266,0.15632891654968262,318.4271218776703,318.71042704582214,40,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,1,616657711,2026-08-05T15:48:16.883117+00:00,1,1000,10000,0.004712104797363281,0.08589577674865723,0.1602342128753662,406.36758303642273,406.6255359649658,51,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,random,2,1983597637,2026-08-05T15:55:03.519066+00:00,1,1000,10000,0.004462003707885742,0.09308481216430664,0.15169620513916016,309.9667098522186,310.2222180366516,46,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,0,1109713902,2026-08-05T16:00:13.746475+00:00,1,1000,10000,0.003942012786865234,0.0847330093383789,0.15360212326049805,145.8871819972992,146.13551497459412,52,6,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,1,2091774347,2026-08-05T16:02:39.888158+00:00,1,1000,10000,0.003937959671020508,0.08832001686096191,0.15397095680236816,145.25298380851746,145.50528407096863,51,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,linear_combination,2,1206729600,2026-08-05T16:05:05.399719+00:00,1,1000,10000,0.003981828689575195,0.08965301513671875,0.17131805419921875,148.69086909294128,148.96205496788025,51,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,0,203415800,2026-08-05T16:07:34.372559+00:00,1,1000,10000,0.004821062088012695,0.09053707122802734,0.1625978946685791,138.37471294403076,138.63989090919495,55,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,1,786161135,2026-08-05T16:09:53.019833+00:00,1,1000,10000,0.004338979721069336,0.08329606056213379,0.15348005294799805,139.3054747581482,139.5532350540161,53,8,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.1,3,local_search,2,1667186838,2026-08-05T16:12:12.580918+00:00,1,1000,10000,0.004469871520996094,0.08749604225158691,0.15752387046813965,142.3605649471283,142.6164038181305,48,16,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,random,0,1267417689,2026-08-05T16:14:35.210112+00:00,1,1000,10000,0.004954099655151367,0.09427094459533691,0.175001859664917,318.7852861881256,319.0674479007721,55,9,64,25,30,True,1000,957,0,0,4.488372093023256,5,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,1,743455145,2026-08-05T16:19:54.285652+00:00,1,1000,10000,0.004162788391113281,0.08055496215820312,0.1502699851989746,349.2760591506958,349.5171136856079,46,10,64,25,30,True,1000,960,0,0,6.65,9,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,random,2,1193040332,2026-08-05T16:25:43.824588+00:00,1,1000,10000,0.008980274200439453,0.15599799156188965,0.299389123916626,341.64667296409607,342.12414383888245,54,10,64,25,30,True,1000,965,0,0,3.914285714285714,6,0.0,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,0,1943164800,2026-08-05T16:31:25.961361+00:00,1,1000,10000,0.004585981369018555,0.08637690544128418,0.15627598762512207,149.2030520439148,149.45706510543823,49,9,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,1,1839587946,2026-08-05T16:33:55.425162+00:00,1,1000,10000,0.0041348934173583984,0.08807206153869629,0.15085411071777344,150.48764491081238,150.7370388507843,54,8,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.2,3,linear_combination,2,1861633721,2026-08-05T16:36:26.172855+00:00,1,1000,10000,0.004439592361450195,0.0892033576965332,0.1797161102294922,148.4747669696808,148.7543396949768,48,11,64,25,30,True,1000,1000,0,0,,,,,False,
