n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
7,3,7,0.01,0.05,1,1.1,2,random,0,1768066181,2026-07-28T22:58:57.775498+00:00,2,500,500,0.019861936569213867,0.00027489662170410156,0.0006282329559326172,0.0007669925689697266,0.026042938232421875,6,1,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,2,random,1,1952500669,2026-07-28T22:58:57.802287+00:00,2,500,500,0.00012803077697753906,0.00011897087097167969,0.0005419254302978516,0.0002529621124267578,0.0013010501861572266,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,random,2,2029922272,2026-07-28T22:58:57.803948+00:00,2,500,500,0.00011491775512695312,0.00012922286987304688,0.0005099773406982422,0.00045013427734375,0.001425027847290039,6,1,7,4,4,False,5,0,2,2,0.5,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,random,3,207425456,2026-07-28T22:58:57.805702+00:00,2,500,500,0.00011491775512695312,0.0001289844512939453,0.0005099773406982422,0.00016689300537109375,0.001146078109741211,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,2,random,4,295077079,2026-07-28T22:58:57.807172+00:00,2,500,500,0.0001881122589111328,0.00013685226440429688,0.0005719661712646484,0.00014090538024902344,0.001338958740234375,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,linear_combination,0,752353342,2026-07-28T22:58:57.808910+00:00,2,500,500,0.0001819133758544922,0.0001380443572998047,0.0005812644958496094,0.0005371570587158203,0.0017199516296386719,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,linear_combination,1,1822527581,2026-07-28T22:58:57.811069+00:00,2,500,500,0.00012373924255371094,0.00012803077697753906,0.0004892349243164062,0.0024590492248535156,0.0034198760986328125,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,2,linear_combination,2,1933373259,2026-07-28T22:58:57.814833+00:00,2,500,500,0.00011396408081054688,0.0001289844512939453,0.0004820823669433594,0.00039505958557128906,0.0013480186462402344,6,1,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,linear_combination,3,966496259,2026-07-28T22:58:57.816506+00:00,2,500,500,0.0001201629638671875,0.00012803077697753906,0.0005030632019042969,0.0020151138305664062,0.002988100051879883,6,1,7,4,4,False,10,0,2,2,0.7777777777777778,1,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,2,linear_combination,4,2022048379,2026-07-28T22:58:57.819925+00:00,2,500,500,0.00012063980102539062,0.00013017654418945312,0.0007710456848144531,0.0015208721160888672,0.002946615219116211,6,1,7,4,4,False,7,0,2,2,0.6666666666666666,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,local_search,0,183187111,2026-07-28T22:58:57.823289+00:00,2,500,500,0.00013494491577148438,0.00013637542724609375,0.0005338191986083984,0.12600374221801758,0.12702226638793945,0,0,7,4,4,False,500,0,0,0,4.0,4,0.0,,False,
7,3,7,0.01,0.05,1,1.1,2,local_search,1,1504436416,2026-07-28T22:58:57.951107+00:00,2,500,500,0.00018787384033203125,0.00012922286987304688,0.0005660057067871094,0.0006377696990966797,0.001817941665649414,4,0,7,4,4,False,4,0,2,2,1.3333333333333333,2,0.6666666666666666,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,local_search,2,13635588,2026-07-28T22:58:57.953306+00:00,2,500,500,0.00011992454528808594,0.0001289844512939453,0.0005199909210205078,0.08231425285339355,0.08334088325500488,4,3,7,4,4,False,500,0,0,0,1.504,2,0.496,,False,
7,3,7,0.01,0.05,1,1.1,2,local_search,3,12318020,2026-07-28T22:58:58.037315+00:00,2,500,500,0.00016999244689941406,0.00012421607971191406,0.0005419254302978516,0.0003910064697265625,0.0015201568603515625,6,1,7,4,4,False,4,0,2,2,0.3333333333333333,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,2,local_search,4,859779306,2026-07-28T22:58:58.039209+00:00,2,500,500,0.00010704994201660156,0.00012183189392089844,0.0005042552947998047,0.0010080337524414062,0.0019578933715820312,6,1,7,4,4,False,7,0,2,2,0.6666666666666666,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,0,395091426,2026-07-28T22:58:58.041523+00:00,2,500,500,0.00010991096496582031,0.00012803077697753906,0.0005049705505371094,0.0017619132995605469,0.0027408599853515625,6,1,7,4,4,False,13,0,2,2,0.8333333333333334,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,1,707349343,2026-07-28T22:58:58.044800+00:00,2,500,500,0.000164031982421875,0.00013685226440429688,0.0005061626434326172,0.00013899803161621094,0.0011980533599853516,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,3,random,2,308180213,2026-07-28T22:58:58.046343+00:00,2,500,500,0.00011205673217773438,0.0001289844512939453,0.00048089027404785156,0.00026988983154296875,0.0012102127075195312,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,3,1273858132,2026-07-28T22:58:58.047878+00:00,2,500,500,0.00010704994201660156,0.000125885009765625,0.0004930496215820312,0.0001800060272216797,0.0011289119720458984,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,4,1042210212,2026-07-28T22:58:58.049404+00:00,2,500,500,0.0001499652862548828,0.00013113021850585938,0.0005598068237304688,0.0008950233459472656,0.0019881725311279297,6,1,7,4,4,False,9,0,2,2,0.75,1,1.0,4.0,True,
