n,k,q,alpha,beta,rmax,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,budgets,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,min_distance_C,min_distance_C_method,min_distance_Cprime,min_distance_Cprime_method,uniqueness_guaranteed,target_weight_used,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
9,4,7,0.01,0.05,1,0,503684350,2026-07-23T04:59:00.997669+00:00,2,500,500,3,0.019812822341918945,0.0003342628479003906,0.0009868144989013672,0.008271932601928711,0.08233976364135742,9,0,9,4,brute_force,4,brute_force,False,4,5,2,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.01,0.05,1,1,1184364472,2026-07-23T04:59:01.080817+00:00,2,500,500,3,0.00017380714416503906,0.00016808509826660156,0.0008389949798583984,0.00022029876708984375,0.04813575744628906,9,0,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.01,0.05,1,2,1334792405,2026-07-23T04:59:01.129469+00:00,2,500,500,3,0.00018477439880371094,0.00017714500427246094,0.0008871555328369141,0.0015952587127685547,0.04913687705993652,9,0,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.01,0.05,2,0,1912430467,2026-07-23T04:59:01.179114+00:00,2,500,500,3,0.00018310546875,0.00018525123596191406,0.0008778572082519531,0.0038590431213378906,0.0532684326171875,6,1,9,4,brute_force,4,brute_force,False,4,7,0,2,2,0.6666666666666666,1,1.0,4.0,True,
9,4,7,0.01,0.05,2,1,1606074980,2026-07-23T04:59:01.232860+00:00,2,500,500,3,0.0001857280731201172,0.000186920166015625,0.0008759498596191406,0.0013170242309570312,0.049188852310180664,8,1,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.01,0.05,2,2,1955006245,2026-07-23T04:59:01.282586+00:00,2,500,500,3,0.00020623207092285156,0.00017380714416503906,0.0009131431579589844,0.22014784812927246,0.26928114891052246,7,0,9,4,brute_force,4,brute_force,False,4,500,0,0,0,1.0,1,1.0,,False,
9,4,7,0.01,0.05,3,0,1607558611,2026-07-23T04:59:01.552602+00:00,2,500,500,3,0.00018787384033203125,0.0001690387725830078,0.0008690357208251953,0.517488956451416,0.565269947052002,8,1,9,4,brute_force,4,brute_force,False,4,500,0,0,0,1.0,1,1.0,,False,
9,4,7,0.01,0.05,3,1,449723740,2026-07-23T04:59:02.118641+00:00,2,500,500,3,0.0002009868621826172,0.00018405914306640625,0.0008831024169921875,0.003367900848388672,0.05209994316101074,7,2,9,4,brute_force,4,brute_force,False,4,4,0,2,2,0.3333333333333333,1,1.0,4.0,True,
9,4,7,0.01,0.05,3,2,578347113,2026-07-23T04:59:02.171306+00:00,2,500,500,3,0.0002071857452392578,0.0001900196075439453,0.0008759498596191406,0.00029397010803222656,0.04908919334411621,9,0,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.01,0.2,1,0,1038101144,2026-07-23T04:59:02.220911+00:00,2,500,500,3,0.00021600723266601562,0.00019311904907226562,0.0008821487426757812,0.5893721580505371,0.637336015701294,3,1,9,4,brute_force,4,brute_force,False,4,500,12,0,0,2.0,2,0.0,,False,
9,4,7,0.01,0.2,1,1,1123234488,2026-07-23T04:59:02.858963+00:00,2,500,500,3,0.0001919269561767578,0.000179290771484375,0.0008819103240966797,0.1142280101776123,0.16229605674743652,2,1,9,5,brute_force,5,brute_force,True,5,500,0,0,0,3.462,5,0.0,,False,
9,4,7,0.01,0.2,1,2,1428884666,2026-07-23T04:59:03.021955+00:00,2,500,500,3,0.0001900196075439453,0.00018715858459472656,0.0008828639984130859,0.5257890224456787,0.574517011642456,2,2,9,3,brute_force,3,brute_force,False,3,500,12,0,0,2.0,2,0.0,,False,
9,4,7,0.01,0.2,2,0,1240671171,2026-07-23T04:59:03.597007+00:00,2,500,500,3,0.00019884109497070312,0.00018596649169921875,0.0008761882781982422,0.0004379749298095703,0.04837679862976074,7,0,9,5,brute_force,5,brute_force,False,5,3,0,2,2,1.0,1,1.0,5.0,True,
9,4,7,0.01,0.2,2,1,746745931,2026-07-23T04:59:03.645883+00:00,2,500,500,3,0.0002028942108154297,0.00017690658569335938,0.0008840560913085938,0.10281109809875488,0.15124773979187012,3,2,9,2,brute_force,2,brute_force,False,2,500,0,0,0,2.0,2,1.0,,False,
9,4,7,0.01,0.2,2,2,601536048,2026-07-23T04:59:03.797907+00:00,2,500,500,3,0.00020003318786621094,0.00017261505126953125,0.0008871555328369141,0.22575616836547852,0.27439093589782715,8,1,9,4,brute_force,4,brute_force,False,4,500,0,0,0,1.0,1,1.0,,False,
9,4,7,0.01,0.2,3,0,401108750,2026-07-23T04:59:04.073012+00:00,2,500,500,3,0.0001990795135498047,0.0001850128173828125,0.0009000301361083984,0.0014309883117675781,0.05061793327331543,7,2,9,4,brute_force,4,brute_force,False,4,4,0,2,2,0.6666666666666666,2,1.0,4.0,True,
9,4,7,0.01,0.2,3,1,1004532382,2026-07-23T04:59:04.124142+00:00,2,500,500,3,0.0002009868621826172,0.000186920166015625,0.0008978843688964844,0.23416805267333984,0.2811279296875,1,1,9,3,brute_force,3,brute_force,False,3,500,0,0,0,3.0,3,1.0,,False,
9,4,7,0.01,0.2,3,2,799762722,2026-07-23T04:59:04.405960+00:00,2,500,500,3,0.0001919269561767578,0.00017118453979492188,0.0008370876312255859,0.14451885223388672,0.19289016723632812,4,1,9,4,brute_force,4,brute_force,False,4,132,0,2,2,1.9694656488549618,2,1.0,4.0,True,
9,4,7,0.05,0.05,1,0,44846175,2026-07-23T04:59:04.599648+00:00,2,500,500,3,0.00019288063049316406,0.00017905235290527344,0.0008728504180908203,0.008510828018188477,0.05801272392272949,6,0,9,4,brute_force,4,brute_force,False,4,7,1,2,2,1.0,1,1.0,4.0,True,
9,4,7,0.05,0.05,1,1,1582765604,2026-07-23T04:59:04.658363+00:00,2,500,500,3,0.00017786026000976562,0.0001780986785888672,0.0008780956268310547,0.0013170242309570312,0.050502777099609375,8,1,9,5,brute_force,5,brute_force,True,5,8,0,2,2,0.7142857142857143,1,1.0,5.0,True,
9,4,7,0.05,0.05,1,2,51356826,2026-07-23T04:59:04.709364+00:00,2,500,500,3,0.0001819133758544922,0.0001800060272216797,0.0008718967437744141,0.0019440650939941406,0.0506439208984375,9,0,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.05,0.05,2,0,1219099356,2026-07-23T04:59:04.760545+00:00,2,500,500,3,0.00019812583923339844,0.00017118453979492188,0.0008287429809570312,0.00034308433532714844,0.04896426200866699,9,0,9,5,brute_force,5,brute_force,False,5,3,0,2,2,0.0,0,1.0,5.0,True,
9,4,7,0.05,0.05,2,1,1458777818,2026-07-23T04:59:04.809998+00:00,2,500,500,3,0.00017905235290527344,0.0001819133758544922,0.0008692741394042969,0.0008218288421630859,0.04977107048034668,8,1,9,4,brute_force,4,brute_force,False,4,4,0,2,2,0.3333333333333333,1,1.0,4.0,True,
9,4,7,0.05,0.05,2,2,1464609725,2026-07-23T04:59:04.860220+00:00,2,500,500,3,0.00016427040100097656,0.00016570091247558594,0.0007898807525634766,0.22792983055114746,0.27730512619018555,7,2,9,4,brute_force,4,brute_force,False,4,500,0,0,0,1.0,1,1.0,,False,
9,4,7,0.05,0.05,3,0,1860397877,2026-07-23T04:59:05.138242+00:00,2,500,500,3,0.00018906593322753906,0.00018596649169921875,0.0008971691131591797,0.0003190040588378906,0.04921603202819824,8,1,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.05,0.05,3,1,537411431,2026-07-23T04:59:05.187959+00:00,2,500,500,3,0.00018310546875,0.0001850128173828125,0.0008678436279296875,1.480159044265747,1.5296308994293213,7,2,9,4,brute_force,4,brute_force,False,4,500,209,0,0,1.0,1,1.0,,False,
9,4,7,0.05,0.05,3,2,1700352583,2026-07-23T04:59:06.718345+00:00,2,500,500,3,0.00021386146545410156,0.0001881122589111328,0.000888824462890625,0.0015730857849121094,0.05111336708068848,9,0,9,4,brute_force,4,brute_force,False,4,3,0,2,2,0.0,0,1.0,4.0,True,
9,4,7,0.05,0.2,1,0,672181374,2026-07-23T04:59:06.770001+00:00,2,500,500,3,0.00019097328186035156,0.00018310546875,0.0010139942169189453,0.6015570163726807,0.6513588428497314,2,0,9,4,brute_force,4,brute_force,False,4,500,17,0,0,3.0,3,0.0,,False,
9,4,7,0.05,0.2,1,1,1639280076,2026-07-23T04:59:07.422114+00:00,2,500,500,3,0.00021409988403320312,0.00022482872009277344,0.0008599758148193359,0.029702186584472656,0.07941913604736328,5,0,9,5,brute_force,5,brute_force,True,5,143,0,2,2,2.436619718309859,3,0.014084507042253521,5.0,True,
9,4,7,0.05,0.2,1,2,385236668,2026-07-23T04:59:07.502310+00:00,2,500,500,3,0.00020694732666015625,0.0001990795135498047,0.0008940696716308594,0.11934113502502441,0.16897797584533691,4,0,9,4,brute_force,4,brute_force,False,4,500,0,0,0,2.896,3,0.0,,False,
9,4,7,0.05,0.2,2,0,1022916622,2026-07-23T04:59:07.671999+00:00,2,500,500,3,0.0002009868621826172,0.00017309188842773438,0.0008502006530761719,0.6007740497589111,0.6495912075042725,5,2,9,3,brute_force,3,brute_force,False,3,500,14,0,0,1.0,1,1.0,,False,
9,4,7,0.05,0.2,2,1,1383683118,2026-07-23T04:59:08.322332+00:00,2,500,500,3,0.00021791458129882812,0.0001881122589111328,0.0009028911590576172,0.00035309791564941406,0.06770110130310059,2,0,9,2,brute_force,2,brute_force,False,2,3,0,2,2,1.0,1,1.0,2.0,True,
9,4,7,0.05,0.2,2,2,1269340662,2026-07-23T04:59:08.390776+00:00,2,500,500,3,0.0002162456512451172,0.0001881122589111328,0.000888824462890625,0.22589898109436035,0.278717041015625,3,0,9,4,brute_force,4,brute_force,False,4,500,0,0,0,2.0,2,1.0,,False,
9,4,7,0.05,0.2,3,0,737143298,2026-07-23T04:59:08.670268+00:00,2,500,500,3,0.00020194053649902344,0.00018787384033203125,0.0009138584136962891,0.5297479629516602,0.5781857967376709,3,1,9,4,brute_force,4,brute_force,False,4,500,0,0,0,2.0,2,1.0,,False,
9,4,7,0.05,0.2,3,1,1157401129,2026-07-23T04:59:09.249214+00:00,2,500,500,3,0.0002181529998779297,0.0001800060272216797,0.0008339881896972656,0.9627830982208252,1.0119001865386963,2,1,9,4,brute_force,4,brute_force,False,4,500,24,0,0,2.0,2,1.0,,False,
9,4,7,0.05,0.2,3,2,1022464510,2026-07-23T04:59:10.261899+00:00,2,500,500,3,0.00020933151245117188,0.00018787384033203125,0.0009047985076904297,0.9610581398010254,1.0108790397644043,2,0,9,4,brute_force,4,brute_force,False,4,500,12,0,0,2.0,2,1.0,,False,
9,4,13,0.01,0.05,1,0,422683050,2026-07-23T04:59:11.273652+00:00,2,500,500,3,0.0004892349243164062,0.00034165382385253906,0.0009291172027587891,0.0005478858947753906,0.5626542568206787,9,0,9,5,brute_force,5,brute_force,True,5,3,0,2,2,0.0,0,1.0,5.0,True,
