n,k,q,alpha,beta,weight_factor,seed,config_source,target_weight,v_weight,t_active,rows_qhat_correct,r_v_true,mean_est_r,rmax_90,coverage_90,rmax_95,coverage_95,rmax_99,coverage_99,elapsed_posterior_s,elapsed_hungarian_s,elapsed_estimate_s,error
32,16,7,0.01,0.03,1.1,20260831,grid,11,11,11,21,3,3.5235776147287394,5,1,6,1,7,1,0.0018029212951660156,0.018028974533081055,0.0004987716674804688,
32,16,7,0.01,0.03,1.1,20260832,grid,11,11,11,24,0,3.2255458357709355,5,1,5,1,6,1,0.0015757083892822266,0.01704716682434082,0.00044798851013183594,
32,16,7,0.01,0.03,1.1,20260833,grid,11,11,11,26,2,6.4443704931594965,8,1,8,1,9,1,0.0016467571258544922,0.016523122787475586,0.0004680156707763672,
32,16,7,0.01,0.03,1.1,20260834,grid,11,11,11,26,3,4.251417577901516,6,1,6,1,7,1,0.0016481876373291016,0.016286849975585938,0.00045490264892578125,
32,16,7,0.01,0.03,1.1,20260835,grid,11,11,11,24,2,3.8160998903532968,5,1,6,1,7,1,0.0015139579772949219,0.016371965408325195,0.0004363059997558594,
32,16,7,0.01,0.05,1.1,20260836,grid,11,11,11,23,2,5.364841620664243,7,1,8,1,9,1,0.0016200542449951172,0.010627031326293945,0.0004169940948486328,
32,16,7,0.01,0.05,1.1,20260837,grid,11,11,11,19,5,7.581756344927872,9,1,10,1,10,1,0.0015900135040283203,0.010164976119995117,0.00042176246643066406,
32,16,7,0.01,0.05,1.1,20260838,grid,11,11,11,18,4,4.893808161018193,7,1,7,1,8,1,0.001596212387084961,0.010094881057739258,0.0005688667297363281,
32,16,7,0.01,0.05,1.1,20260839,grid,11,11,11,19,5,6.8427247879047,9,1,9,1,10,1,0.001592874526977539,0.010251998901367188,0.00040602684020996094,
32,16,7,0.01,0.05,1.1,20260840,grid,11,11,11,26,2,5.680808027736241,7,1,8,1,9,1,0.0015499591827392578,0.010145187377929688,0.00045108795166015625,
32,16,7,0.02,0.08,1.1,20260841,grid,11,11,11,13,5,7.574032805701986,9,1,10,1,10,1,0.0015861988067626953,0.023890972137451172,0.0012958049774169922,
32,16,7,0.02,0.08,1.1,20260842,grid,11,11,11,12,6,7.805864597745822,9,1,10,1,11,1,0.0016620159149169922,0.010447978973388672,0.0004467964172363281,
32,16,7,0.02,0.08,1.1,20260843,grid,11,11,11,11,4,6.826975329419333,9,1,9,1,10,1,0.00180816650390625,0.010177850723266602,0.0004572868347167969,
32,16,7,0.02,0.08,1.1,20260844,grid,11,11,11,15,7,6.957759377540015,9,1,9,1,10,1,0.001764059066772461,0.009974956512451172,0.0004551410675048828,
32,16,7,0.02,0.08,1.1,20260845,grid,11,11,11,16,7,7.990497662585354,10,1,10,1,11,1,0.001680135726928711,0.010250091552734375,0.0004680156707763672,
32,16,29,0.01,0.03,1.1,20260846,grid,13,13,13,30,0,3.1130914811191217,5,1,5,1,6,1,0.00541377067565918,0.019500017166137695,0.0016019344329833984,
32,16,29,0.01,0.03,1.1,20260847,grid,13,13,13,27,1,2.0033315058688084,4,1,4,1,5,1,0.00542902946472168,0.019416093826293945,0.0017209053039550781,
32,16,29,0.01,0.03,1.1,20260848,grid,13,13,13,30,2,5.250565728639294,7,1,7,1,8,1,0.0052700042724609375,0.019807100296020508,0.0016472339630126953,
32,16,29,0.01,0.03,1.1,20260849,grid,13,13,13,23,4,5.444044180882515,7,1,7,1,8,1,0.0052032470703125,0.0235750675201416,0.0016069412231445312,
32,16,29,0.01,0.03,1.1,20260850,grid,13,13,13,27,1,3.0183907599531157,5,1,5,1,6,1,0.00511479377746582,0.019877195358276367,0.0016057491302490234,
32,16,29,0.01,0.05,1.1,20260851,grid,13,13,13,18,5,6.589319909099843,9,1,9,1,10,1,0.0051000118255615234,0.019366025924682617,0.0016672611236572266,
32,16,29,0.01,0.05,1.1,20260852,grid,13,13,13,28,1,4.928068809899141,7,1,7,1,8,1,0.005255937576293945,0.019791126251220703,0.0016851425170898438,
32,16,29,0.01,0.05,1.1,20260853,grid,13,13,13,23,4,6.436963008023326,8,1,9,1,10,1,0.005300045013427734,0.01947808265686035,0.0016889572143554688,
32,16,29,0.01,0.05,1.1,20260854,grid,13,13,13,26,1,5.729314858522295,8,1,8,1,9,1,0.005324125289916992,0.019236087799072266,0.001672983169555664,
32,16,29,0.01,0.05,1.1,20260855,grid,13,13,13,27,1,4.70659735484569,7,1,7,1,8,1,0.005561113357543945,0.020160675048828125,0.0018413066864013672,
32,16,29,0.02,0.08,1.1,20260856,grid,13,13,13,22,3,7.2371826062442475,9,1,10,1,11,1,0.005434751510620117,0.01896500587463379,0.0018320083618164062,
32,16,29,0.02,0.08,1.1,20260857,grid,13,13,13,20,3,7.6546130709127045,10,1,10,1,11,1,0.005427837371826172,0.018709182739257812,0.0017042160034179688,
32,16,29,0.02,0.08,1.1,20260858,grid,13,13,13,17,5,7.117358230816088,9,1,10,1,11,1,0.005620002746582031,0.019398927688598633,0.0016169548034667969,
32,16,29,0.02,0.08,1.1,20260859,grid,13,13,13,19,6,7.191260540615585,9,1,10,1,11,1,0.005624055862426758,0.018874168395996094,0.0016548633575439453,
32,16,29,0.02,0.08,1.1,20260860,grid,13,13,13,19,7,6.667763045300701,9,1,9,1,10,1,0.005417823791503906,0.01992011070251465,0.0015659332275390625,
32,16,127,0.01,0.03,1.1,20260861,grid,15,15,15,28,1,4.032758213514086,6,1,6,1,8,1,0.03270316123962402,0.038027048110961914,0.007853031158447266,
32,16,127,0.01,0.03,1.1,20260862,grid,15,15,15,24,4,3.1334418641751003,5,1,5,1,7,1,0.03232002258300781,0.040145158767700195,0.0075228214263916016,
32,16,127,0.01,0.03,1.1,20260863,grid,15,15,15,30,1,3.2230842283177616,5,1,6,1,7,1,0.03924822807312012,0.03806591033935547,0.008600950241088867,
32,16,127,0.01,0.03,1.1,20260864,grid,15,15,15,30,1,2.288165668724909,4,1,5,1,6,1,0.03176712989807129,0.037223100662231445,0.007773160934448242,
32,16,127,0.01,0.03,1.1,20260865,grid,15,15,15,26,2,4.496268876656095,6,1,7,1,8,1,0.031752824783325195,0.03754234313964844,0.0078051090240478516,
