k_rows,n_cols,q_field,n_hints,seed,unique_cols,total_cols,uniqueness_ratio,success,math_valid,time_seconds
5,64,2,3,26,30,64,0.46875,True,True,0.009331941604614258
5,64,2,16,26,30,64,0.46875,True,True,0.007684230804443359
5,64,2,32,26,30,64,0.46875,True,True,1.1144919395446777
5,64,2,48,26,30,64,0.46875,True,True,0.003651857376098633
5,64,2,60,26,30,64,0.46875,True,True,0.003673076629638672
5,64,3,3,26,56,64,0.875,True,True,0.0042018890380859375
5,64,3,16,26,56,64,0.875,True,True,0.0037789344787597656
5,64,3,32,26,56,64,0.875,True,True,0.0038089752197265625
5,64,3,48,26,56,64,0.875,True,True,0.0037288665771484375
5,64,3,60,26,56,64,0.875,True,True,0.0037741661071777344
5,64,7,3,26,64,64,1.0,True,True,0.003696918487548828
5,64,7,16,26,64,64,1.0,True,True,0.003657817840576172
5,64,7,32,26,64,64,1.0,True,True,0.003948211669921875
5,64,7,48,26,64,64,1.0,True,True,0.003741741180419922
5,64,7,60,26,64,64,1.0,True,True,0.003923892974853516
5,64,13,3,26,64,64,1.0,True,True,0.003715991973876953
5,64,13,16,26,64,64,1.0,True,True,0.003785848617553711
5,64,13,32,26,64,64,1.0,True,True,0.0036869049072265625
5,64,13,48,26,64,64,1.0,True,True,0.0036749839782714844
5,64,13,60,26,64,64,1.0,True,True,0.0036869049072265625
5,64,19,3,26,64,64,1.0,True,True,0.00409388542175293
5,64,19,16,26,64,64,1.0,True,True,0.003966808319091797
5,64,19,32,26,64,64,1.0,True,True,0.0038039684295654297
5,64,19,48,26,64,64,1.0,True,True,0.004189729690551758
5,64,19,60,26,64,64,1.0,True,True,0.003616809844970703
5,64,31,3,26,64,64,1.0,True,True,0.003628969192504883
5,64,31,16,26,64,64,1.0,True,True,0.003597259521484375
5,64,31,32,26,64,64,1.0,True,True,0.0036978721618652344
5,64,31,48,26,64,64,1.0,True,True,0.004069089889526367
5,64,31,60,26,64,64,1.0,True,True,0.004241943359375
5,128,2,6,26,32,128,0.25,False,False,60.01474690437317
5,128,2,32,26,32,128,0.25,False,False,60.0164589881897
5,128,2,64,26,32,128,0.25,False,False,60.015552043914795
5,128,2,96,26,32,128,0.25,True,True,0.9998388290405273
5,128,2,121,26,32,128,0.25,True,True,0.015285015106201172
5,128,3,6,26,105,128,0.8203125,True,True,0.01609492301940918
5,128,3,32,26,105,128,0.8203125,True,True,0.014866113662719727
5,128,3,64,26,105,128,0.8203125,True,True,0.01625800132751465
5,128,3,96,26,105,128,0.8203125,True,True,0.01543879508972168
5,128,3,121,26,105,128,0.8203125,True,True,0.017353057861328125
5,128,7,6,26,126,128,0.984375,True,True,0.015465974807739258
5,128,7,32,26,126,128,0.984375,True,True,0.016713857650756836
5,128,7,64,26,126,128,0.984375,True,True,0.016270160675048828
5,128,7,96,26,126,128,0.984375,True,True,0.01568913459777832
5,128,7,121,26,126,128,0.984375,True,True,0.015305042266845703
5,128,13,6,26,128,128,1.0,True,True,0.017506122589111328
5,128,13,32,26,128,128,1.0,True,True,0.017766237258911133
5,128,13,64,26,128,128,1.0,True,True,0.016062021255493164
5,128,13,96,26,128,128,1.0,True,True,0.01500391960144043
5,128,13,121,26,128,128,1.0,True,True,0.015505790710449219
5,128,19,6,26,128,128,1.0,True,True,0.0160520076751709
5,128,19,32,26,128,128,1.0,True,True,0.015305042266845703
5,128,19,64,26,128,128,1.0,True,True,0.016589879989624023
5,128,19,96,26,128,128,1.0,True,True,0.01788783073425293
5,128,19,121,26,128,128,1.0,True,True,0.015604972839355469
5,128,31,6,26,128,128,1.0,True,True,0.016955852508544922
5,128,31,32,26,128,128,1.0,True,True,0.015816926956176758
5,128,31,64,26,128,128,1.0,True,True,0.017329931259155273
5,128,31,96,26,128,128,1.0,True,True,0.017461061477661133
5,128,31,121,26,128,128,1.0,True,True,0.019201040267944336
5,256,2,12,26,32,256,0.125,False,False,60.06815314292908
