n,k,q,found,attempts,possible_permutations,execution_time_sec
11,5,7,True,1,39916800,0.001569986343383789
11,5,7,True,17,39916800,0.012036800384521484
11,5,7,True,2,39916800,0.0011141300201416016
11,5,7,True,1,39916800,0.0006639957427978516
11,5,7,True,1,39916800,0.0005440711975097656
11,5,7,True,2,39916800,0.0010018348693847656
11,5,7,True,1,39916800,0.0005550384521484375
11,5,7,True,88,39916800,0.032598018646240234
11,5,7,True,1,39916800,0.0004601478576660156
11,5,7,True,5,39916800,0.0018818378448486328
11,5,7,True,846,39916800,0.28426504135131836
11,5,7,True,7,39916800,0.002480030059814453
11,5,7,True,1,39916800,0.00045108795166015625
11,5,7,True,1,39916800,0.0005490779876708984
11,5,7,True,1,39916800,0.0004391670227050781
11,5,7,True,1,39916800,0.00043010711669921875
11,5,7,True,1,39916800,0.000431060791015625
11,5,7,True,2,39916800,0.0007588863372802734
11,5,7,True,1,39916800,0.00048089027404785156
11,5,7,True,2,39916800,0.0007669925689697266
11,5,7,True,601,39916800,0.19489097595214844
11,5,7,False,-1,39916800,300.1246681213379
11,5,7,True,3,39916800,0.0013861656188964844
11,5,7,True,4,39916800,0.0016567707061767578
11,5,7,True,16,39916800,0.006249904632568359
11,5,7,True,28,39916800,0.011021852493286133
11,5,7,True,4,39916800,0.0016579627990722656
11,5,7,True,1,39916800,0.00048828125
11,5,7,True,2,39916800,0.0008449554443359375
11,5,7,True,1,39916800,0.0004887580871582031
11,5,7,True,1,39916800,0.0004749298095703125
11,5,7,True,362890,39916800,126.85258913040161
11,5,7,True,1,39916800,0.0005218982696533203
11,5,7,False,-1,39916800,300.1841650009155
11,5,7,True,1,39916800,0.000537872314453125
11,5,7,True,25201,39916800,8.646429777145386
11,5,7,True,4,39916800,0.0017931461334228516
11,5,7,True,724,39916800,0.25679898262023926
11,5,7,True,1,39916800,0.0005707740783691406
11,5,7,True,2,39916800,0.0008778572082519531
11,5,7,True,3,39916800,0.0013468265533447266
11,5,7,True,2,39916800,0.0008778572082519531
11,5,7,True,1,39916800,0.00047898292541503906
11,5,7,True,1,39916800,0.00048279762268066406
11,5,7,True,1,39916800,0.0004830360412597656
11,5,7,True,1,39916800,0.00046706199645996094
11,5,7,True,241922,39916800,83.06024193763733
11,5,7,True,1,39916800,0.00055694580078125
11,5,7,True,6,39916800,0.002480745315551758
11,5,7,True,1,39916800,0.0004627704620361328
11,5,7,True,85,39916800,0.03037095069885254
11,5,7,False,-1,39916800,300.10545110702515
11,5,7,True,4,39916800,0.0016820430755615234
11,5,7,True,6,39916800,0.0024230480194091797
11,5,7,True,2,39916800,0.000885009765625
11,5,7,True,1,39916800,0.0004937648773193359
11,5,7,True,2,39916800,0.0008759498596191406
11,5,7,True,1,39916800,0.00047206878662109375
11,5,7,True,7,39916800,0.002744913101196289
11,5,7,True,2,39916800,0.0009620189666748047
11,5,7,True,2,39916800,0.0008749961853027344
11,5,7,True,2,39916800,0.0008630752563476562
11,5,7,True,73,39916800,0.027093887329101562
11,5,7,True,1,39916800,0.0005590915679931641
11,5,7,True,1,39916800,0.0005121231079101562
11,5,7,True,1,39916800,0.0005109310150146484
11,5,7,True,1,39916800,0.0004830360412597656
11,5,7,True,1,39916800,0.00047898292541503906
11,5,7,True,1,39916800,0.0004830360412597656
11,5,7,True,5,39916800,0.0020227432250976562
11,5,7,True,2,39916800,0.0009567737579345703
11,5,7,True,2,39916800,0.0008697509765625
11,5,7,True,1,39916800,0.0004711151123046875
11,5,7,True,4321,39916800,1.4877550601959229
11,5,7,True,12,39916800,0.0045490264892578125
11,5,7,True,1,39916800,0.00047087669372558594
11,5,7,True,8,39916800,0.003030061721801758
11,5,7,True,1,39916800,0.00048089027404785156
11,5,7,True,1,39916800,0.0005052089691162109
11,5,7,True,1,39916800,0.0005056858062744141
11,5,7,True,2,39916800,0.0008358955383300781
11,5,7,True,2,39916800,0.0008690357208251953
11,5,7,True,5,39916800,0.002054929733276367
11,5,7,True,128,39916800,0.04477381706237793
11,5,7,True,1,39916800,0.000537872314453125
11,5,7,True,1,39916800,0.0005156993865966797
11,5,7,True,7,39916800,0.0027441978454589844
11,5,7,True,1,39916800,0.00047206878662109375
11,5,7,True,17,39916800,0.006597995758056641
11,5,7,True,1,39916800,0.00047898292541503906
11,5,7,True,1,39916800,0.0004799365997314453
11,5,7,True,2,39916800,0.0008530616760253906
11,5,7,True,2,39916800,0.0008931159973144531
11,5,7,True,1,39916800,0.00047326087951660156
11,5,7,True,97,39916800,0.038697004318237305
11,5,7,True,282241,39916800,96.20105504989624
11,5,7,True,1,39916800,0.0005860328674316406
11,5,7,True,6,39916800,0.0023958683013916016
11,5,7,True,15121,39916800,5.228530168533325
11,5,7,True,2,39916800,0.0009911060333251953
32,12,31,False,-1,263130836933693530167218012160000000,300.0194821357727
32,12,31,False,-1,263130836933693530167218012160000000,299.9621720314026
32,12,31,False,-1,263130836933693530167218012160000000,300.0201561450958
32,12,31,False,-1,263130836933693530167218012160000000,300.018278837204
32,12,31,False,-1,263130836933693530167218012160000000,300.0928888320923
32,12,31,False,-1,263130836933693530167218012160000000,300.0382568836212
32,12,31,False,-1,263130836933693530167218012160000000,300.03320479393005
32,12,31,False,-1,263130836933693530167218012160000000,300.0829818248749
32,12,31,False,-1,263130836933693530167218012160000000,300.0341532230377
32,12,31,True,6436,263130836933693530167218012160000000,5.027736186981201
32,12,31,False,-1,263130836933693530167218012160000000,300.0290219783783
32,12,31,True,20,263130836933693530167218012160000000,0.015956401824951172
32,12,31,False,-1,263130836933693530167218012160000000,300.0707631111145
32,12,31,False,-1,263130836933693530167218012160000000,300.044016122818
32,12,31,False,-1,263130836933693530167218012160000000,300.0436773300171
32,12,31,False,-1,263130836933693530167218012160000000,300.0193531513214
32,12,31,False,-1,263130836933693530167218012160000000,300.04782605171204
32,12,31,True,33,263130836933693530167218012160000000,0.02876901626586914
32,12,31,False,-1,263130836933693530167218012160000000,300.0217261314392
32,12,31,False,-1,263130836933693530167218012160000000,300.01792788505554
32,12,31,True,7,263130836933693530167218012160000000,0.006373882293701172
32,12,31,True,362881,263130836933693530167218012160000000,282.92781114578247
32,12,31,True,1,263130836933693530167218012160000000,0.0011470317840576172
32,12,31,False,-1,263130836933693530167218012160000000,300.0257031917572
32,12,31,False,-1,263130836933693530167218012160000000,300.04116773605347
32,12,31,False,-1,263130836933693530167218012160000000,300.0418207645416
32,12,31,False,-1,263130836933693530167218012160000000,300.0398499965668
32,12,31,False,-1,263130836933693530167218012160000000,300.0297291278839
32,12,31,False,-1,263130836933693530167218012160000000,300.00609588623047
32,12,31,False,-1,263130836933693530167218012160000000,300.02884459495544
32,12,31,True,751,263130836933693530167218012160000000,0.6092894077301025
32,12,31,False,-1,263130836933693530167218012160000000,300.03128123283386
32,12,31,False,-1,263130836933693530167218012160000000,299.9995038509369
32,12,31,False,-1,263130836933693530167218012160000000,299.9968898296356
32,12,31,False,-1,263130836933693530167218012160000000,300.0160219669342
32,12,31,False,-1,263130836933693530167218012160000000,300.02277517318726
32,12,31,False,-1,263130836933693530167218012160000000,300.0654010772705
32,12,31,True,16,263130836933693530167218012160000000,0.016062021255493164
32,12,31,False,-1,263130836933693530167218012160000000,300.0198299884796
32,12,31,False,-1,263130836933693530167218012160000000,300.01401376724243
32,12,31,False,-1,263130836933693530167218012160000000,300.0222270488739
32,12,31,False,-1,263130836933693530167218012160000000,300.0312309265137
32,12,31,False,-1,263130836933693530167218012160000000,300.02674531936646
32,12,31,False,-1,263130836933693530167218012160000000,300.02658891677856
32,12,31,False,-1,263130836933693530167218012160000000,300.0288109779358
32,12,31,False,-1,263130836933693530167218012160000000,300.022736787796
32,12,31,False,-1,263130836933693530167218012160000000,300.013307094574
32,12,31,True,25,263130836933693530167218012160000000,0.020409822463989258
32,12,31,False,-1,263130836933693530167218012160000000,300.0481827259064
32,12,31,False,-1,263130836933693530167218012160000000,300.0296220779419
32,12,31,True,24,263130836933693530167218012160000000,0.01984095573425293
32,12,31,False,-1,263130836933693530167218012160000000,300.03169083595276
32,12,31,False,-1,263130836933693530167218012160000000,300.0347309112549
32,12,31,False,-1,263130836933693530167218012160000000,300.0203173160553
32,12,31,True,157,263130836933693530167218012160000000,0.12916994094848633
32,12,31,False,-1,263130836933693530167218012160000000,331.2991669178009
32,12,31,False,-1,263130836933693530167218012160000000,300.02347803115845
32,12,31,True,5765,263130836933693530167218012160000000,4.5037548542022705
32,12,31,False,-1,263130836933693530167218012160000000,300.03644275665283
32,12,31,False,-1,263130836933693530167218012160000000,299.83033990859985
32,12,31,False,-1,263130836933693530167218012160000000,300.0132682323456
32,12,31,False,-1,263130836933693530167218012160000000,300.0169212818146
32,12,31,False,-1,263130836933693530167218012160000000,300.0530149936676
32,12,31,False,-1,263130836933693530167218012160000000,300.02933287620544
32,12,31,False,-1,263130836933693530167218012160000000,300.0160450935364
32,12,31,False,-1,263130836933693530167218012160000000,300.0218780040741
32,12,31,True,365445,263130836933693530167218012160000000,283.7714293003082
32,12,31,False,-1,263130836933693530167218012160000000,300.0127146244049
